bucket,item_i,item_j,family_i,family_j,same_family,brand_i,brand_j,title_i,title_j,coarse_raw,local_raw,direct_support,coarse_pur,local_pur,mid_base,local_multihop
<a_131>,182,2855,gauge_meter,other,False,AcuRite,Ranco,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",RANCO ETC-111000 Digital Cold Temperature Control NEW,3.0,2.25,5.25,0.0,0.018943656235933304,0.0,0.024198371917009354
<a_131>,181,2855,gauge_meter,other,False,AcuRite,Ranco,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",RANCO ETC-111000 Digital Cold Temperature Control NEW,10.0,3.3333334922790527,13.333333969116211,0.01820378378033638,0.013278167694807053,0.0,0.015248574316501617
<a_131>,1831,2608,connector_fitting,other,False,uxcell,Inkbird,"Uxcell a09022500ux0047 RS232 to RS485 Communication Data Converter Adapter with a Terminal Board, 2.9"" Width, 5.6"" Length","Inkbird Pre-Wired Dual Stage Digital Temperature Controller Outlet Thermostat 110V, 1100W Heating and Cooling for Fermentation Kegerator Heating Mat ect",0.0,0.0,0.0,0.0,0.0,0.0,0.009017116390168667
<a_131>,181,2608,gauge_meter,other,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","Inkbird Pre-Wired Dual Stage Digital Temperature Controller Outlet Thermostat 110V, 1100W Heating and Cooling for Fermentation Kegerator Heating Mat ect",6.0,1.6666667461395264,7.6666669845581055,0.015428749844431877,0.007949351333081722,0.0,0.007961551658809185
<a_131>,182,2608,gauge_meter,other,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","Inkbird Pre-Wired Dual Stage Digital Temperature Controller Outlet Thermostat 110V, 1100W Heating and Cooling for Fermentation Kegerator Heating Mat ect",12.0,2.0,14.0,0.03483729436993599,0.00684737041592598,0.00030223504290916026,0.006455447990447283
<a_131>,819,3073,3d_filament,other,False,Inkbird,bayite,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",bayite AC 110V Fahrenheit Digital Temperature Controller 10A 1 Relay with Sensor,0.0,0.0,0.0,0.0,0.0,0.0,0.005457375664263964
<a_131>,182,819,gauge_meter,3d_filament,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",28.066665649414062,2.366666793823242,30.433332443237305,0.008562120608985424,0.0064359670504927635,5.787639383925125e-05,0.0053307777270674706
<a_131>,819,3300,3d_filament,other,False,Inkbird,Lightobject,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",Lightobject ETC-JLD612-A Dual Display PID Temperature Controller,0.0,0.0,0.0,0.0,0.0,0.0014753013383597136,0.002348338020965457
<a_131>,181,2383,gauge_meter,other,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0023265464697033167
<a_131>,1703,2383,3d_filament,other,False,Inkbird,Inkbird,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (110 Volt)",Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000,3.0,0.5,3.5,0.0,0.0,0.0011248319642618299,0.0013415708672255278
<a_131>,181,819,gauge_meter,3d_filament,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator","Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",0.0,0.0,0.0,0.0,0.0,0.0,0.0013235036749392748
<a_131>,2213,2855,gauge_meter,other,False,Zenport,Ranco,"Zenport DPG200 Zen-Tek Dry Air Pressure Gauge, 200 PSI",RANCO ETC-111000 Digital Cold Temperature Control NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.00080860685557127
<a_131>,181,2684,gauge_meter,other,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",Inkbird Dual Digital PID Temperature Controller 2 Relay Output 100-240V ITC-100VH+ K sensor,0.0,0.0,0.0,0.0,0.0,0.0,0.0007382711628451943
<a_131>,182,2383,gauge_meter,other,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000,9.333333015441895,1.3333333730697632,10.666666030883789,0.0061296988278627396,0.0,0.0,0.000647279666736722
<a_131>,182,2684,gauge_meter,other,False,AcuRite,Inkbird,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",Inkbird Dual Digital PID Temperature Controller 2 Relay Output 100-240V ITC-100VH+ K sensor,0.0,0.0,0.0,0.0,0.0,0.0,0.0004515469481702894
<a_131>,819,2855,3d_filament,other,False,Inkbird,Ranco,"Inkbird ITC-1000 Dual Stage Digital Temperature Controller Fahrenheit  Celsius Thermostat with Sensor for 3D Printer,Freezer,Fridge,Hatching ect (12 Volt)",RANCO ETC-111000 Digital Cold Temperature Control NEW,0.0,0.0,0.0,0.0,0.0,0.0015462159644812346,0.0003674354520626366
<a_131>,182,607,gauge_meter,other,False,AcuRite,Docooler,"AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",Docooler&reg; Digital Temperature Controller Thermocouple with Sensor (-58~194&deg;F) 10A 110V,0.0,0.0,0.0,0.0,0.0,0.0,0.0003629782295320183
<a_185>,323,877,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","Acetal Copolymer Round Rod, Opaque Black, Standard Tolerance, ASTM D6778, 3"" Diameter, 6"" Length",8.0,1.0,9.0,0.259250670671463,0.2756631374359131,0.007546174339950085,0.20419490337371826
<a_185>,1586,1970,other,gauge_meter,False,Small Parts,"Sterling Seal & Supply, Inc. (STCC)","White Translucent Nylon 101 Round Tubing, 3/4"" OD, 5/8"" ID, 24"" Length","011 Buna-N O-Ring, 50A Durometer, Round, Black, 5/16"" ID, 7/16"" OD, 1/16"" Width (Pack of 115)",6.0,1.0,7.0,0.12359650433063507,0.15770702064037323,0.0,0.12180005759000778
<a_185>,877,1543,gauge_meter,other,False,Small Parts,Small Parts,"Acetal Copolymer Round Rod, Opaque Black, Standard Tolerance, ASTM D6778, 3"" Diameter, 6"" Length","Aluminum 6061-T6 Seamless Round Tubing, WW-T 700/6, 1-1/8"" OD, 1.009"" ID, 0.058"" Wall, 12",20.0,1.0,21.0,0.15286710858345032,0.11276288330554962,0.014477437362074852,0.0835280492901802
<a_185>,1155,2868,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length","6061 Aluminum Rectangular Bar, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B211/ASTM B221, 1-1/2"" Thickness, 1-1/2"" Width, 12"" Length",16.75,1.125,17.875,0.06061328202486038,0.06579653918743134,0.04788180813193321,0.07292710244655609
<a_185>,1153,1543,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length","Aluminum 6061-T6 Seamless Round Tubing, WW-T 700/6, 1-1/8"" OD, 1.009"" ID, 0.058"" Wall, 12",24.5,1.75,26.25,0.05497357249259949,0.07209472358226776,0.03144577145576477,0.05674002319574356
<a_185>,323,1158,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length",2.0,1.0,3.0,0.0,0.06847819685935974,0.01998346485197544,0.05072459205985069
<a_185>,1585,1970,other,gauge_meter,False,Small Parts,"Sterling Seal & Supply, Inc. (STCC)","White Translucent Nylon 101 Round Tubing, 3/4"" OD, 1/2"" ID, 36"" Length","011 Buna-N O-Ring, 50A Durometer, Round, Black, 5/16"" ID, 7/16"" OD, 1/16"" Width (Pack of 115)",3.0,0.5,3.5,0.0,0.0,0.0,0.042630016803741455
<a_185>,1154,1543,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length","Aluminum 6061-T6 Seamless Round Tubing, WW-T 700/6, 1-1/8"" OD, 1.009"" ID, 0.058"" Wall, 12",12.733333587646484,1.0333333015441895,13.766666412353516,0.030273985117673874,0.043453801423311234,0.03654169663786888,0.04063684120774269
<a_185>,132,1158,other,gauge_meter,False,Small Parts,Small Parts,"110 Copper Rectangular Bar, Unpolished (Mill) Finish, H04 Temper, ASTM B187, 1/4"" Thickness, 2"" Width, 36"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/2"" Diameter, 24"" Length",20.0,1.0,21.0,0.13569167256355286,0.045802053064107895,0.0434480719268322,0.035677094012498856
<a_185>,323,1157,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length",1.0,0.5,1.5,0.0,0.0,0.024410555139183998,0.01724192686378956
<a_185>,1154,2868,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length","6061 Aluminum Rectangular Bar, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B211/ASTM B221, 1-1/2"" Thickness, 1-1/2"" Width, 12"" Length",19.142858505249023,1.1428571939468384,20.285715103149414,0.06084628030657768,0.01735495962202549,0.04115867242217064,0.014154857024550438
<a_185>,323,1877,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","464 Brass Round Rod, Unpolished (Mill) Finish, H02 Temper, ASTM B21, 9/16"" Diameter, 12"" Length",0.0,0.0,0.0,0.0,0.0,0.004965444095432758,0.012567761354148388
<a_185>,132,1157,other,gauge_meter,False,Small Parts,Small Parts,"110 Copper Rectangular Bar, Unpolished (Mill) Finish, H04 Temper, ASTM B187, 1/4"" Thickness, 2"" Width, 36"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length",9.0,0.5,9.5,0.049329724162817,0.0,0.05213917791843414,0.011532367207109928
<a_185>,1156,2868,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1-5/8"" Diameter, 24"" Length","6061 Aluminum Rectangular Bar, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B211/ASTM B221, 1-1/2"" Thickness, 1-1/2"" Width, 12"" Length",7.44444465637207,0.6111111044883728,8.05555534362793,0.03053216263651848,0.0,0.04990701749920845,0.011223262175917625
<a_185>,1155,1543,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length","Aluminum 6061-T6 Seamless Round Tubing, WW-T 700/6, 1-1/8"" OD, 1.009"" ID, 0.058"" Wall, 12",7.833333969116211,0.75,8.583333969116211,0.02131408452987671,0.0,0.042969681322574615,0.010246947407722473
<a_185>,323,1153,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length",0.3333333432674408,0.1666666716337204,0.5,0.0,0.0,0.01757809706032276,0.008873963728547096
<a_185>,323,1154,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length",0.4000000059604645,0.20000000298023224,0.6000000238418579,0.0,0.0,0.020649151876568794,0.008754154667258263
<a_185>,323,1155,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length",0.5,0.25,0.75,0.0,0.0,0.024689730256795883,0.007444895803928375
<a_185>,323,1156,other,gauge_meter,False,Small Parts,Small Parts,"6101 Aluminum Rectangular Bar, Unpolished (Mill) Finish, T61 Temper, ASTM B317, 1/4"" Thickness, 2"" Width, 12"" Length","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1-5/8"" Diameter, 24"" Length",0.6666666865348816,0.3333333432674408,1.0,0.0,0.0,0.02588026411831379,0.006579004228115082
<a_185>,1157,2868,gauge_meter,other,False,Small Parts,Small Parts,"6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2"" Diameter, 12"" Length","6061 Aluminum Rectangular Bar, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B211/ASTM B221, 1-1/2"" Thickness, 1-1/2"" Width, 12"" Length",4.200000286102295,0.4333333373069763,4.633333683013916,0.019954023882746696,0.0,0.04730896279215813,0.00643150182440877
<a_254>,3055,3566,other,gauge_meter,False,Temco,Remington Industries,TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,"Remington Industries 16SNSP 16 AWG Magnet Wire, Enameled Copper Wire, 1.0 lb, 0.0520"" Diameter, 126' Length, Red",3.3333334922790527,2.0333333015441895,5.366666793823242,0.0,0.23232710361480713,0.0,0.21101631224155426
<a_254>,1781,3055,gauge_meter,other,False,Remington Industries,Temco,"Remington Industries 18SNSP Magnet Wire, Enameled Copper Wire, 18 AWG, 1.0 lb, 201' Length, 0.0415"" Diameter, Red",TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,8.0,1.0,9.0,0.14016437530517578,0.17954674363136292,0.0019749444909393787,0.14055539667606354
<a_254>,1839,3055,gauge_meter,other,False,Small Parts,Temco,"Bare Copper Wire, Bright, 14 AWG, 0.064"" Diameter, 80' Length (Pack of 1)",TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,6.0,1.0,7.0,0.08852820098400116,0.07480022311210632,0.0014480482786893845,0.06721420586109161
<a_254>,1447,3055,gauge_meter,other,False,Remington Industries,Temco,"Remington Industries 18UL1007STRKIT UL1007 18 AWG Gauge Stranded Hook-Up Wire Kit, 300V, 0.0403"" Diameter, 25' Length Each",TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,2.0,1.0,3.0,0.0,0.06156468763947487,0.002158569637686014,0.05532098188996315
<a_254>,1825,1839,other,gauge_meter,False,Temco,Small Parts,TEMCo 30 AWG Copper Magnet Wire - 2 oz 392 ft 155&deg;C Magnetic Coil Red,"Bare Copper Wire, Bright, 14 AWG, 0.064"" Diameter, 80' Length (Pack of 1)",18.0,1.0,19.0,0.12101386487483978,0.049895212054252625,0.0011784275993704796,0.046980228275060654
<a_254>,1447,1825,gauge_meter,other,False,Remington Industries,Temco,"Remington Industries 18UL1007STRKIT UL1007 18 AWG Gauge Stranded Hook-Up Wire Kit, 300V, 0.0403"" Diameter, 25' Length Each",TEMCo 30 AWG Copper Magnet Wire - 2 oz 392 ft 155&deg;C Magnetic Coil Red,2.0,1.0,3.0,0.0,0.0410664938390255,0.0018316071946173906,0.03866730257868767
<a_254>,613,3055,gauge_meter,other,False,Remington Industries,Temco,"Remington Industries 22SNSP 22 AWG Magnet Wire, Enameled Copper Wire, 1.0 lb, 0.0263"" Diameter, 507' Length, Red",TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,0.6666666865348816,0.3333333432674408,1.0,0.0,0.0,0.0011375036556273699,0.007670690771192312
<a_254>,1887,3055,gauge_meter,other,False,Small Parts,Temco,"Bare Copper Wire, Bright, 12 AWG, 0.08"" Diameter, 50' Length (Pack of 1)",TEMCo 18 AWG Copper Magnet Wire - 4 oz 50 ft 200&deg;C Magnetic Coil Winding,0.0,0.0,0.0,0.0,0.0,0.0020077002700418234,0.00672625657171011
<a_254>,2984,3566,other,gauge_meter,False,Temco,Remington Industries,TEMCo 24 AWG Copper Magnet Wire - 10 lb 7905 ft 155&deg;C Magnetic Coil Green,"Remington Industries 16SNSP 16 AWG Magnet Wire, Enameled Copper Wire, 1.0 lb, 0.0520"" Diameter, 126' Length, Red",2.0,0.25,2.25,0.0,0.0,0.0,0.00633937818929553
<a_254>,1781,2984,gauge_meter,other,False,Remington Industries,Temco,"Remington Industries 18SNSP Magnet Wire, Enameled Copper Wire, 18 AWG, 1.0 lb, 201' Length, 0.0415"" Diameter, Red",TEMCo 24 AWG Copper Magnet Wire - 10 lb 7905 ft 155&deg;C Magnetic Coil Green,0.0,0.0,0.0,0.0,0.0,0.0019391257083043456,0.005829296074807644
<a_254>,1825,1887,other,gauge_meter,False,Temco,Small Parts,TEMCo 30 AWG Copper Magnet Wire - 2 oz 392 ft 155&deg;C Magnetic Coil Red,"Bare Copper Wire, Bright, 12 AWG, 0.08"" Diameter, 50' Length (Pack of 1)",0.0,0.0,0.0,0.0,0.0,0.0015744977863505483,0.004538805224001408
